legacy_action,legacy_handler,domain,effect_class,mutability,relevant_legacy_arguments_defaults,state_files_tables_read_written,subprocess_provider_effects,exit_error_output_contract,target_peerhub_command,target_peerhub_module_symbol,disposition,implementation_status,fixture_ids,current_capture_revision,shadow_comparison_status,authority_phase,rollback_owner_path,last_verified_legacy_and_peerhub_revisions,unresolved_drift_finding_ids
consensus-propose,action_consensus_propose,consensus,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit""]",unspecified,consensus.round.propose,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
consensus-vote,action_consensus_vote,consensus,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit"", ""process:run""]",unspecified,consensus.vote.cast,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
consensus-check,action_consensus_check,consensus,unspecified,readonly,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:consensus_dir""], ""writes"": []}",[],unspecified,consensus.round.read,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
consensus-sweep,action_consensus_sweep,consensus,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ""]",unspecified,consensus.round.sweep,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
register-node,action_register_node,configuration,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json""], ""writes"": [""call:_write_json"", ""call:unlink"", ""call:write_text""]}",[],unspecified,configuration.instance.register,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
list-nodes,action_list_nodes,configuration,unspecified,readonly,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json""], ""writes"": []}",[],unspecified,configuration.instance.list,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
health-update,action_health_update,health,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir""], ""writes"": [""call:_log_p2p"", ""call:write_text""]}","[""env:os.environ""]",unspecified,health.evidence.record,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
health-check,action_health_check,health,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:write_text""]}",[],unspecified,health.projection.read,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
peer-status,action_peer_status,health,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir""], ""writes"": [""call:mkdir"", ""call:write_text""]}","[""env:os.environ"", ""process:run""]",unspecified,health.instance.status,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
context-fill,action_context_fill,coordination,unspecified,readonly,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""state:sessions_dir"", ""state:state.json""], ""writes"": []}",[],unspecified,coordination.context.fill,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
checkpoint,action_checkpoint,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit""]",unspecified,coordination.checkpoint.create,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
peer-quarantine,action_peer_quarantine,health,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ""]",unspecified,health.admission.quarantine,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
peer-recover,action_peer_recover,health,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ""]",unspecified,health.recovery.authorize_probe,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
new-topic,action_new_topic,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_load_orchestration"", ""call:_read_json"", ""call:read_text"", ""config:lifecycle_policy.json"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ""]",unspecified,coordination.topic.create,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
clear-room,action_clear_room,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_load_orchestration"", ""call:_read_json"", ""call:read_text"", ""config:lifecycle_policy.json"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ""]",unspecified,coordination.room.clear,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
preflight,action_preflight,diagnostic,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:write_text""]}",[],unspecified,peerhub.preflight,unspecified,compatibility-wrapper,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
context-hash,action_context_hash,diagnostic,unspecified,readonly,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""state:state.json""], ""writes"": []}",[],unspecified,peerhub.context.hash,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
report-error,action_report_error,telemetry,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:write_text""]}","[""env:os.environ""]",unspecified,telemetry.error.record,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
feedback-add,action_feedback_add,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:read_text""], ""writes"": [""call:mkdir""]}",[],unspecified,governance.feedback.create,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
feedback-list,action_feedback_list,governance,unspecified,readonly,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:read_text""], ""writes"": []}",[],unspecified,governance.feedback.list,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
feedback-resolve,action_feedback_resolve,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:read_text""], ""writes"": [""call:write_text""]}","[""process:exit""]",unspecified,governance.feedback.resolve,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
artifact-claim,action_artifact_claim,artifact,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text""], ""writes"": [""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""process:exit""]",unspecified,governance.artifact.claim,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
artifact-status,action_artifact_status,artifact,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text""], ""writes"": [""call:_write_json"", ""call:unlink"", ""call:write_text""]}","[""process:exit""]",unspecified,governance.artifact.status,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
artifact-finalize,action_artifact_finalize,artifact,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_bytes"", ""call:read_text""], ""writes"": [""call:_write_json"", ""call:unlink"", ""call:write_text""]}","[""process:exit""]",unspecified,governance.artifact.finalize,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
leader-yield,action_leader_yield,routing,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ""]",unspecified,routing.leadership.yield,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
leader-claim,action_leader_claim,routing,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit""]",unspecified,routing.leadership.claim,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
elect-leader,action_elect_leader,routing,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_append_jsonl"", ""call:_log_p2p"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit""]",unspecified,routing.leadership.elect,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
discover,action_discover,routing,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:state.json""], ""writes"": []}","[""env:os.environ""]",unspecified,routing.candidate.discover,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
assign-role,action_assign_role,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""process:exit""]",unspecified,coordination.role.assign,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
release-role,action_role_release,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""process:exit""]",unspecified,coordination.role.release,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
role-status,action_role_status,coordination,unspecified,readonly,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:state.json""], ""writes"": []}",[],unspecified,coordination.role.status,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
health-precheck,action_health_precheck,health,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:write_text""]}","[""env:os.environ"", ""process:exit""]",unspecified,health.admission.precheck,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
health-sweep,action_health_sweep,health,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ""]",unspecified,health.projection.sweep,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
freshness-sweep,action_freshness_sweep,telemetry,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""process:run""]",unspecified,telemetry.freshness.sweep,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
terminal-handoff,action_terminal_handoff,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ""]",unspecified,coordination.terminal.handoff,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
terminal-duty-sweep,action_terminal_duty_sweep,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ""]",unspecified,coordination.terminal.duty_sweep,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
terminal-heartbeat,action_terminal_heartbeat,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""state:state.json""], ""writes"": [""call:unlink"", ""call:write_text""]}",[],unspecified,coordination.terminal.heartbeat,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
terminal-close,action_terminal_close,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:state.json""], ""writes"": [""call:unlink"", ""call:write_text""]}",[],unspecified,coordination.terminal.close,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
append-handoff,action_append_handoff,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:write_text""]}","[""process:exit""]",unspecified,coordination.handoff.append,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
task-checkpoint,action_task_checkpoint,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""process:exit""]",unspecified,coordination.task.checkpoint,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
task-status,action_task_status,coordination,unspecified,readonly,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text""], ""writes"": []}",[],unspecified,coordination.task.status,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
task-failover,action_task_failover,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""process:exit""]",unspecified,coordination.task.failover,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
approval-request,action_approval_request,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:lifecycle_policy.json"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_append_jsonl"", ""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit""]",unspecified,governance.approval.request,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
file-lock,action_file_lock,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text""], ""writes"": [""call:_write_json"", ""call:unlink"", ""call:write_text""]}","[""process:exit""]",unspecified,governance.lock.acquire,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
file-unlock,action_file_unlock,governance,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text""], ""writes"": [""call:_write_json"", ""call:unlink"", ""call:write_text""]}","[""process:exit""]",unspecified,governance.lock.release,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
lock-status,action_lock_status,governance,unspecified,readonly,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text""], ""writes"": []}",[],unspecified,governance.lock.status,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
profile-validate,action_validate_profiles,configuration,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json""], ""writes"": []}","[""process:exit""]",unspecified,configuration.profile.validate,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
lease-status,action_lease_status,dispatch,unspecified,readonly,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text""], ""writes"": []}",[],unspecified,dispatch.lease.status,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
lease-sweep,_lease_sweep,dispatch,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:lifecycle_policy.json"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:run""]",unspecified,dispatch.lease.sweep,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
model-status,action_model_status,configuration,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:orchestration.json"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:mkdir"", ""call:write_text""]}",[],unspecified,configuration.model.status,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
transient-scan,action_transient_scan,telemetry,unspecified,readonly,see_global_surface,"{""reads"": [""call:read_bytes""], ""writes"": []}",[],unspecified,telemetry.transient.scan,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
directive-add,action_directive_add,host-policy,unspecified,mutable,see_global_surface,"{""reads"": [""call:read_text""], ""writes"": [""call:mkdir""]}","[""process:exit""]",unspecified,host.directive.add,unspecified,compatibility-wrapper,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
